id,Price
0,5634952.876800001
1,14103690.12
2,13023681.138
3,10518480.18
4,6335789.194799999
5,5714664.321599999
6,8709091.56
7,6120285.3504
8,5956597.8576
9,10095384.0
10,5825503.1016
11,7659278.9207999995
12,13376064.873599999
13,4347472.194000002
14,2516624.510400001
15,10059484.032
16,9332399.419199998
17,10489047.66
18,14384958.307199998
19,3216597.4151999988
20,14221914.595199993
21,12865034.52
22,9507865.848
23,8804680.56
24,5831898.227999999
25,8013408.1559999995
26,10518480.18
27,7968809.440799999
28,10274261.4
29,14101162.124400001
30,8595731.008800002
31,7974912.909599999
32,8860344.48
33,13815109.152
34,6818704.822800001
35,12355596.723600004
36,7760678.8428
37,9022757.749200007
38,6157017.313200003
39,21170022.0264
40,10201302.54
41,10071523.8
42,6070589.740800001
43,11886574.8456
44,9123992.28
45,9134244.756000007
46,8925521.9508
47,11039747.004
48,9721947.268800002
49,9984236.3712
50,12148068.114
51,8859097.821600001
52,7998307.761600002
53,4813481.462400001
54,12579957.0
55,10977707.52
56,10786351.68
57,13135278.4056
58,6257524.478400001
59,13412050.797600003
60,12302796.9168
61,8772847.2
62,6230172.6864
63,3608228.6603999995
64,14365821.834
65,10059484.032
66,7698057.822000001
67,16894800.0
68,11845255.5
69,18809338.298399996
70,18304517.2284
71,2462104.9908
72,16378481.574000001
73,9920080.5912
74,10807484.407200001
75,6295400.841600004
76,19032742.6848
77,5990821.387200002
78,3503901.4920000057
79,4909402.134000001
80,13338016.894800002
81,19721436.976799954
82,10905857.492400002
83,14482637.8164
84,5730271.56
85,7720206.015599993
86,18648848.36879998
87,14199532.542000001
88,11938061.303999998
89,10348343.3196
90,16954804.994400002
91,10998514.799999986
92,5413387.356000003
93,8024169.254399999
94,13418344.5552
95,9812233.08
96,11713804.174800001
97,6054669.504
98,5061108.546
99,19385972.049599994
100,5805360.943200001
101,7643296.44
102,17634728.21760001
103,23569046.28
104,3266377.4988000006
105,17738536.9824
106,7069140.0
107,7698057.822000001
108,15734747.012400003
109,10572854.76
110,9354213.2736
111,3373802.64
112,2897445.7512000017
113,3308214.358800006
114,12210672.24
115,7044783.0336000025
116,8507421.000000002
117,8121586.449600003
118,5250431.674800001
119,10698831.2808
120,3411834.6132000005
121,18348908.76
122,10516558.618800001
123,9733317.4692
124,2699252.8524
125,14989776.141599994
126,11132118.8784
127,10844915.281200003
128,10370405.2608
129,6180382.821600001
130,3823571.5596
131,13312102.9392
132,12420719.064
133,6368905.670399999
134,4822920.3204
135,13955727.24
136,2836548.0
137,14074813.350000001
138,19839504.9528
139,15191319.545999998
140,16226423.927999998
141,9926317.44
142,2267460.0
143,11152835.46
144,11845255.5
145,5141856.798000004
146,4133266.5816
147,9757355.212800004
148,3266377.4988000006
149,11070067.8348
150,7193628.0
151,11161860.84
152,5356718.64
153,14567465.718
154,2543112.0
155,11606091.822
156,4891124.628
157,12559436.0424
158,15961392.532799995
159,5650061.273999997
160,18809338.298399996
161,11187184.366800008
162,19041772.5108
163,10793276.176799985
164,14749772.169600002
165,13880412.0
166,14885213.335200004
167,17423874.0
168,13135278.4056
169,10087612.095600002
170,11017985.6124
171,19318713.8508
